number,citation,signing_date,document_number,notes
13027,,1996-11-15,96-29815,
13028,,1996-12-03,96-31164,"Amends: EO 12757, March 19, 1991
See: EO 12823, December 3, 1996; EO 13131, July 22, 1999
Revoked by: EO 13345, July 8, 2004"
13029,,1996-12-03,96-31165,
13030,,1996-12-12,96-32128,"Amends: EO 11958, January 18, 1977; EO 12163, September 29, 1979; EO 12884, December 1, 1993"
13031,,1996-12-13,96-32195,"Suspersedes: EO 12844, April 21, 1993
Revoked by: EO 13149, April 21, 2000
See: EO 13101, September 14, 1998"
13032,,1996-12-26,96-33336,"Amends: EO 12964, June 21, 1995
Revoked by: EO 13062, September 29, 1997"
13033,,1996-12-27,96-33384,"Amends: EO 12961, May 26, 1995
Note: EO 13034 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999."
13034,,1997-01-30,97-2818,
13035,,1997-02-11,97-3992,"Amended by: EO 13092, July 24, 1998; EO 13113, February 10, 1999; EO 13200, February 11, 2001; EO 13215, May 31, 2001; EO 13305, May 28, 2003
See: Public Law 105-305, October 28, 1998 (112 Stat. 2919)"
13036,,1997-02-15,97-4302,
13037,,1997-03-03,97-5728,"Amended by: EO 13066, October 29, 1997; EO 13108, December 11, 1998
Revoked by: EO 13138, September 30, 1999"
13038,,1997-03-11,97-6571,"Amended by: EO 13062, September 29, 1997; EO 13065, October 22, 1997; EO 13081, April 30, 1998; EO 13102, September 25, 1998
Revoked by: EO 13138, September 30, 1999"
13039,,1997-03-11,97-6703,"Amends: EO 12171, November 19, 1979"
13040,,1997-03-25,97-8123,"Amends: EO 13017, September 5, 1996
Note: EO 13040 is nullified by virtue of the Commission being abolished by EO 13138, September 30, 1999."
13041,,1997-04-03,97-9200,"Amends: EO 13010, July 15, 1996
Note: EO 13041 is nullified in part by virtue of the Committee being abolished by EO 13138, September 30, 1999."
13042,,1997-04-09,97-9700,
13043,,1997-04-16,97-10331,
13044,,1997-04-18,97-10605,"Amends: EO 12752, February 25, 1991"
13045,,1997-04-21,97-10695,"Amended by: EO 13229, October 9, 2001; EO 13296, April 18, 2003"
13046,,1997-05-16,97-13450,"Amends: EO 12975, October 3, 1995
See: EO 13316, September 17, 2003"
13047,,1997-05-20,97-13704,"Amended by: EO 13310, July 28, 2003
See: EO 13448, October 18, 2007; EO 13464, April 30, 2008; Notice of May 18, 1998; Notice of May 16, 2003; Notice of May 17, 2004; Notice of May 17, 2005; Notice of May 18, 2006; Notice of May 17, 2007; Notice of May 16, 2008; Notice of May 14, 2009; Notice of May 13, 2010"
13048,,1997-06-10,97-15828,"Amended by: EO 13284, January 23, 2003
Revokes: EO 12552, February 25, 1986; EO 12637, April 27, 1988; EO 12816, October 14, 1992"
13049,,1997-06-11,97-15879,
13050,,1997-06-13,97-16080,
13051,,1997-06-24,97-16957,
13052,,1997-06-30,97-17512,
13053,,1997-06-30,97-17566,"Amends: EO 12852, June 29, 1993
Note: EO 13053 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999."
13054,,1997-07-07,97-18288,"Amended by: EO 13062, September 29, 1997"
13055,,1997-07-15,97-19341,
13056,,1997-07-21,97-19562,"Amends: EO 13017, September 5, 1996
Note: EO 13056 is nullified by virtue of the Commission being abolished by EO 13138, September 30, 1999."
13057,,1997-07-26,97-20497,
13058,,1997-08-09,97-21607,
13059,,1997-08-19,97-22482,"Revokes in part: EO 12613, October 29, 1987; EO 12957, March 15, 1995; EO 12959, May 6, 1995
See: Notice of March 4, 1998; Notice of March 10, 1999; Notice of March 13, 2000; Notice of March 13, 2001; Notice of March 12, 2003; Notice of March 10, 2004; Notice of March 10, 2005; Notice of March 13, 2006; Notice of March 8, 2007; Notice of March 11, 2008; Notice of March 11, 2009; Notice of March 10, 2010"
13060,,1997-08-21,97-22703,
13061,,1997-09-11,97-24591,"Amended by: EO 13093, July 27, 1998"
13062,,1997-09-29,97-26364,"Amends: EO 13038, March 11, 1997 (in part); EO 13054, July 7, 1997 (in part) 
Revokes: EO 12864, September 15, 1993; EO 12891, January 15, 1994; EO 12946, January 20, 1995; EO 12964, June 21, 1995; EO 13015, August 22, 1996
Supersedes: EO 12974, September 29, 1995
Amended by: EO 13065, October 22, 1997
Superseded by: EO 13138, September 30, 1999EO 13038, March 11, 1997 (in part); EO 13054, July 7, 1997 (in part)
See:EO 13065, October 22, 1997
Note: EO 13062 is nullified in part by virtue of the Advisory Committee on Public Interest Obligations of Digital Television Broadcasters being abolished by EO 13138, September 30, 1999."
13063,,1997-09-30,97-26365,"Amends: EO 12154, September 4, 1979"
13064,,1997-10-11,97-27644,"Amends: EO 13010, July 15, 1996
Note: EO 13064 is nullified in part by virtue of the Committee being abolished by EO 13138, September 30, 1999."
13065,,1997-10-22,97-28427,"Amends: EO 13038, March 11, 1997
See:EO 13062, September 29, 1997
Note: EO 13065 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999."
13066,,1997-10-29,97-29126,"Amends: EO 13037, March 3, 1997
Note: EO 13066 is nullified by virtue of the Commission being abolished by EO 13138, September 30, 1999."
13067,,1997-11-03,97-29464,
13068,,1997-11-25,97-31456,
13069,,1997-12-12,97-33034,
13070,,1997-12-15,97-33299,"Amends: EO 12863, September 13, 1993
Amended by: EO 13301, May 14, 2003
See: EO 13376, April 13, 2005"
13071,,1997-12-29,97-34224,"Supersedes: EO 13033, December 27, 1996
Superseded by: EO 13106, December 7, 1998"
13072,,1998-02-02,98-3135,
13073,,1998-02-04,98-3229,"Amended by: EO 13127, June 14, 1999"
13074,,1998-02-09,98-3847,"Amends: EO 12656, November 18, 1988
Note: This Executive order is concerned with force deployment with respect to evacuation of U.S. citizens in threatened areas overseas."
13075,,1998-02-19,98-4816,"Revoked by: EO 13225, September 28, 2001"
13076,,1998-02-24,98-5119,"Amended by: EO 13286, February 28, 2003
See: Proc. 6867, March 1, 1996"
13077,,1998-03-10,98-6628,"Amends: EO 13010, July 15, 1996
Note: EO 13077 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999."
13078,,1998-03-13,98-7139,"Amended by: EO 13172, October 25, 2000; EO 13187, January 10, 2001; EO 13583, August 18, 2011"
13079,,1998-04-07,98-9599,
13080,,1998-04-07,98-9709,"Amended by: EO 13093, July 27, 1998
Revoked by: EO 13225, September 28, 2001"
